Organism/Name,Strain,Genome,TaxID,no rank,superkingdom,phylum,class,order,family,genus,genome_type,evid
Clostridium muellerianum,P21,GCF_012926525.1,2716538,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Incomplete nitrogen-fixing genomes,
Methanobacterium alcaliphilum,DSM 3459,GCF_023227715.1,392018,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Incomplete nitrogen-fixing genomes,
Methanobrevibacter smithii ATCC 35061,ATCC 35061; PS; DSMZ 861,GCF_000016525.1,420247,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Acetivibrio thermocellus DSM 2360,LQRI,GCF_001692755.1,572545,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Incomplete nitrogen-fixing genomes,
Fibrobacter succinogenes subsp. succinogenes S85,S85,GCF_000146505.1,59374,cellular organisms,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Incomplete nitrogen-fixing genomes,
Roseburia faecis,2789STDY5608863,GCF_001405615.1,301302,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Incomplete nitrogen-fixing genomes,
Blautia hydrogenotrophica,2789STDY5608857,GCF_001404935.1,53443,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Incomplete nitrogen-fixing genomes,
Marvinbryantia formatexigens,I-52,GCF_900102475.1,168384,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Incomplete nitrogen-fixing genomes,
Intestinibacter bartlettii,MGYG-HGUT-00062,GCF_902362795.1,261299,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Intestinibacter,Incomplete nitrogen-fixing genomes,
Coprococcus comes,FDAARGOS_1339,GCF_016904155.1,410072,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Incomplete nitrogen-fixing genomes,
Blautia obeum,AM29-25AC,GCF_003468995.1,40520,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Incomplete nitrogen-fixing genomes,
Anaerobutyricum hallii,AM34-3LB,GCF_003468475.1,39488,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerobutyricum,Incomplete nitrogen-fixing genomes,
Dorea longicatena,2789STDY5608851,GCF_001404635.1,88431,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Incomplete nitrogen-fixing genomes,
Enterocloster bolteae,ATCC BAA-613,GCF_002234575.2,208479,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Incomplete nitrogen-fixing genomes,
Ruminococcus albus 7 = DSM 20455,7,GCF_000179635.2,697329,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Incomplete nitrogen-fixing genomes,
Methanocaldococcus jannaschii DSM 2661,DSM 2661,GCF_000091665.1,243232,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Incomplete nitrogen-fixing genomes,
Methanopyrus kandleri AV19,AV19,GCF_000007185.1,190192,cellular organisms,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Incomplete nitrogen-fixing genomes,
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,Goettingen G311,GCF_000014725.1,335541,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,Incomplete nitrogen-fixing genomes,
Methanosphaera stadtmanae,MGYG-HGUT-02164,GCF_902384015.1,2317,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Incomplete nitrogen-fixing genomes,
Alkaliphilus oremlandii OhILAs,OhILAs,GCF_000018325.1,350688,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Incomplete nitrogen-fixing genomes,
Citrifermentans bemidjiense Bem,Bem,GCF_000020725.1,404380,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Citrifermentans,Incomplete nitrogen-fixing genomes,
Methanocorpusculum labreanum Z,Z,GCF_000015765.1,410358,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Incomplete nitrogen-fixing genomes,
Methanococcoides burtonii DSM 6242,DSM 6242,GCF_000013725.1,259564,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Incomplete nitrogen-fixing genomes,
Methanoculleus marisnigri JR1,JR1,GCF_000015825.1,368407,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Incomplete nitrogen-fixing genomes,
Methanocaldococcus fervens AG86,AG86,GCF_000023985.1,573064,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Incomplete nitrogen-fixing genomes,
Methanothermus fervidus DSM 2088,DSM 2088,GCF_000166095.1,523846,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Incomplete nitrogen-fixing genomes,
Hydrogenobacter thermophilus TK-6,TK-6,GCF_000164905.1,608538,cellular organisms,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Incomplete nitrogen-fixing genomes,
Methanobrevibacter ruminantium M1,M1,GCF_000024185.1,634498,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Thermocrinis albus DSM 14484,DSM 14484,GCF_000025605.1,638303,cellular organisms,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Incomplete nitrogen-fixing genomes,
Dialister invisus DSM 15470,DSM 15470,GCF_000160055.1,592028,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Incomplete nitrogen-fixing genomes,
Pyramidobacter piscolens,CE91-St28,GCF_022846135.1,638849,cellular organisms,Bacteria,Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Pyramidobacter,Incomplete nitrogen-fixing genomes,
Mitsuokella multacida,MGYG-HGUT-01316,GCF_902373875.1,52226,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Incomplete nitrogen-fixing genomes,
Dorea formicigenerans ATCC 27755,ATCC 27755,GCF_000169235.1,411461,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Incomplete nitrogen-fixing genomes,
Selenomonas sputigena ATCC 35185,ATCC 35185,GCF_000208405.1,546271,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Fusobacterium ulcerans,ATCC 49185,GCF_003019675.1,861,cellular organisms,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Incomplete nitrogen-fixing genomes,
Selenomonas noxia F0398,F0398,GCF_000234135.1,702437,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Selenomonas flueggei ATCC 43531,ATCC 43531,GCF_000160695.1,638302,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Megasphaera micronuciformis F0359,F0359,GCF_000165735.1,706434,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Incomplete nitrogen-fixing genomes,
Butyrivibrio fibrisolvens DSM 3071,DSM 3071,GCF_900129945.1,1121131,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Incomplete nitrogen-fixing genomes,
Gordonibacter pamelaeae,3C,GCF_003340385.1,471189,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Incomplete nitrogen-fixing genomes,
Slackia exigua,NCTC12994,GCF_900450505.1,84109,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Incomplete nitrogen-fixing genomes,
Selenomonas infelix ATCC 43532,ATCC 43532,GCF_000234095.1,679201,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Methanosalsum zhilinae DSM 4017,DSM 4017,GCF_000217995.1,679901,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Incomplete nitrogen-fixing genomes,
Methanohalobium evestigatum Z-7303,Z-7303,GCF_000196655.1,644295,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Incomplete nitrogen-fixing genomes,
Turicibacter sanguinis,MOL361,GCF_013046825.1,154288,cellular organisms,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Incomplete nitrogen-fixing genomes,
Methanocella paludicola SANAE,SANAE,GCF_000011005.1,304371,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Incomplete nitrogen-fixing genomes,
Coprococcus catus,VPIC661,GCF_019734885.1,116085,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Incomplete nitrogen-fixing genomes,
[Eubacterium] cellulosolvens LD2006,LD2006,GCF_000621585.1,1408436,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Incomplete nitrogen-fixing genomes,
Thermodesulfobium narugense DSM 14796,DSM 14796,GCF_000212395.1,747365,cellular organisms,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Thermodesulfobium,Incomplete nitrogen-fixing genomes,
Prevotella bryantii,TS1-5,GCF_022024215.1,77095,cellular organisms,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Incomplete nitrogen-fixing genomes,
Selenomonas artemidis F0399,F0399,GCF_000187125.1,749551,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Enterocloster citroniae,NLAE-zl-G70,GCF_900115855.1,358743,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Incomplete nitrogen-fixing genomes,
Enterocloster aldenensis,AM40-2AC,GCF_003467385.1,358742,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Incomplete nitrogen-fixing genomes,
Dialister succinatiphilus YIT 11850,YIT 11850,GCF_000242435.1,742743,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Incomplete nitrogen-fixing genomes,
Phascolarctobacterium succinatutens,MGYG-HGUT-01365,GCF_902374385.1,626940,cellular organisms,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Incomplete nitrogen-fixing genomes,
Pseudoramibacter alactolyticus ATCC 23263,ATCC 23263,GCF_000185505.1,887929,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Incomplete nitrogen-fixing genomes,
Centipeda periodontii DSM 2778,DSM 2778,GCF_000213975.1,888060,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,Incomplete nitrogen-fixing genomes,
Acetonema longum DSM 6540,DSM 6540,GCF_000219125.1,1009370,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,Incomplete nitrogen-fixing genomes,
Selenomonas ruminantium subsp. ruminantium ATCC 12561,ATCC 12561,GCF_000424065.1,1280706,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Flavonifractor plautii,JCM 32125,GCF_010508875.1,292800,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Incomplete nitrogen-fixing genomes,
Blautia luti,1001713B170131_170501_E2,GCF_015669135.1,89014,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Incomplete nitrogen-fixing genomes,
Cloacibacillus evryensis DSM 19522,DSM 19522,GCF_000585335.1,866499,cellular organisms,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Incomplete nitrogen-fixing genomes,
Methanomethylovorans hollandica DSM 15978,DSM 15978,GCF_000328665.1,867904,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Incomplete nitrogen-fixing genomes,
Paraeggerthella hongkongensis,DSM 16106,GCF_003726035.1,230658,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,Incomplete nitrogen-fixing genomes,
Eggerthella sinensis,DSM 16107,GCF_003339815.1,242230,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Incomplete nitrogen-fixing genomes,
Methanoplanus limicola DSM 2279,DSM 2279,GCF_000243255.1,937775,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,Incomplete nitrogen-fixing genomes,
Methanoregula formicica SMSP,SMSP,GCF_000327485.1,593750,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Incomplete nitrogen-fixing genomes,
Gottschalkia acidurici 9a,9a,GCF_000299355.1,1128398,cellular organisms,Bacteria,Bacillota,Tissierellia,Tissierellales,Gottschalkiaceae,Gottschalkia,Incomplete nitrogen-fixing genomes,
Schinkia azotoformans LMG 9581,LMG 9581,GCF_000307855.1,1131731,Calidifontibacillus/Schinkia group,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Schinkia,Incomplete nitrogen-fixing genomes,
Megasphaera elsdenii,NCIMB702410,GCF_003006415.1,907,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Incomplete nitrogen-fixing genomes,
Methanocaldococcus villosus KIN24-T80,KIN24-T80,GCF_000371805.1,1069083,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Incomplete nitrogen-fixing genomes,
Anaeroglobus geminatus F0357,F0357,GCF_000239275.1,861450,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Incomplete nitrogen-fixing genomes,
Succinispira mobilis DSM 6222,DSM 6222,GCF_000384135.1,1069080,cellular organisms,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succinispira,Incomplete nitrogen-fixing genomes,
Paeniclostridium sordellii,AM370,GCF_002865995.1,1505,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Paeniclostridium,Incomplete nitrogen-fixing genomes,
Methanoculleus bourgensis MS2,MS2T,GCF_000304355.2,1201294,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Incomplete nitrogen-fixing genomes,
Veillonella ratti,ATCC 17746,GCF_003992115.1,103892,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Incomplete nitrogen-fixing genomes,
Paraclostridium bifermentans,DSM 14991,GCF_019916025.1,1490,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Paraclostridium,Incomplete nitrogen-fixing genomes,
Eubacterium ramulus,2789STDY5608891,GCF_001406295.1,39490,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Incomplete nitrogen-fixing genomes,
Selenomonas bovis DSM 23594,DSM 23594,GCF_000381005.1,1123250,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Incomplete nitrogen-fixing genomes,
Desulfovirgula thermocuniculi DSM 16036,DSM 16036,GCF_000429345.1,1121468,cellular organisms,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,Incomplete nitrogen-fixing genomes,
Desulfogranum japonicum DSM 18378,DSM 18378,GCF_000429945.1,1121403,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfogranum,Incomplete nitrogen-fixing genomes,
Lachnobacterium bovis DSM 14045,DSM 14045,GCF_900107245.1,1122142,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Incomplete nitrogen-fixing genomes,
Pseudobutyrivibrio ruminis DSM 9787,DSM 9787,GCF_900218035.1,1123011,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,Incomplete nitrogen-fixing genomes,
Lachnospira multipara ATCC 19207,ATCC 19207,GCF_000424105.1,1282887,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,Incomplete nitrogen-fixing genomes,
Desulfocicer vacuolatum DSM 3385,DSM 3385,GCF_900176365.1,1121400,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfocicer,Incomplete nitrogen-fixing genomes,
Methanocorpusculum bavaricum DSM 4179,DSM 4179,GCF_000430905.1,1122230,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Incomplete nitrogen-fixing genomes,
Photobacterium gaetbulicola Gung47,Gung47,GCF_000940995.1,658445,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Incomplete nitrogen-fixing genomes,
Mogibacterium timidum ATCC 33093,ATCC 33093,GCF_000525775.1,1401079,Eubacteriales incertae sedis,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,Incomplete nitrogen-fixing genomes,
Desulfitibacter alkalitolerans DSM 16504,DSM 16504,GCF_000620305.1,1304884,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulfitibacter,Incomplete nitrogen-fixing genomes,
Desulfotignum balticum DSM 7044,DSM 7044,GCF_000421285.1,1304886,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,Incomplete nitrogen-fixing genomes,
Lacrimispora sphenoides,NCTC507,GCF_900461315.1,29370,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Incomplete nitrogen-fixing genomes,
Eubacterium xylanophilum ATCC 35991,ATCC 35991,GCF_000518685.1,1336241,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Incomplete nitrogen-fixing genomes,
Blautia schinkii,MSK.6.26,GCF_013304825.1,180164,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Incomplete nitrogen-fixing genomes,
Phascolarctobacterium faecium,JCM 30894,GCF_003945365.1,33025,cellular organisms,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Incomplete nitrogen-fixing genomes,
Candidatus Methanomethylophilus alvus Mx1201,Mx1201,GCF_000300255.2,1236689,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,Incomplete nitrogen-fixing genomes,
Candidatus Methanomassiliicoccus intestinalis,MGYG-HGUT-02160,GCF_902383905.1,1406512,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Incomplete nitrogen-fixing genomes,
Clostridioides mangenotii LM2,LM2,GCF_000687955.1,1392497,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Incomplete nitrogen-fixing genomes,
Methanobrevibacter boviskoreani JH1,JH1,GCF_000320505.1,1214066,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Casaltella massiliensis,DFI.6.68,GCF_022135835.1,938278,Eubacteriales incertae sedis,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Casaltella,Incomplete nitrogen-fixing genomes,
Methanobrevibacter arboriphilus,SA,GCF_019669925.1,39441,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Acetivibrio thermocellus JCM 21531,JCM 21531,GCF_000521465.1,1294263,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Incomplete nitrogen-fixing genomes,
Methanobrevibacter oralis,YH,GCF_912073625.1,66851,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Alkaliphilus transvaalensis ATCC 700919,ATCC 700919,GCF_000621485.1,1408422,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Incomplete nitrogen-fixing genomes,
Methanobrevibacter wolinii SH,SH,GCF_000621965.1,1410664,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Incomplete nitrogen-fixing genomes,
Sharpea azabuensis,KH1P5,GCF_900114425.1,322505,cellular organisms,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,Incomplete nitrogen-fixing genomes,
Mitsuokella jalaludinii,2789STDY5608828,GCF_001404615.1,187979,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Incomplete nitrogen-fixing genomes,
Methanomicrobium mobile BP,BP,GCF_000711215.1,694440,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Incomplete nitrogen-fixing genomes,
Methermicoccus shengliensis DSM 18856,DSM 18856,GCF_000711905.1,1122233,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus,Incomplete nitrogen-fixing genomes,
Synergistes jonesii,1978/1/1 0:00,GCF_000712295.1,2754,cellular organisms,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Synergistes,Incomplete nitrogen-fixing genomes,
Ruminococcus bicirculans,1980/3/1 0:00,GCF_000723465.1,1160721,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Incomplete nitrogen-fixing genomes,
Intestinimonas butyriciproducens,2027/5/10 0:00,GCF_001940005.1,1297617,Eubacteriales incertae sedis,Bacteria,Bacillota,Clostridia,Eubacteriales,,Intestinimonas,Incomplete nitrogen-fixing genomes,
Methanococcoides methylutens,DSM 2657,GCF_000765475.1,2226,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Incomplete nitrogen-fixing genomes,
Fusobacterium hwasookii ChDC F206,ChDC F206,GCF_001455085.1,1307443,cellular organisms,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Incomplete nitrogen-fixing genomes,
Candidatus Methanoplasma termitum,MpT1,GCF_000800805.1,1577791,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Candidatus Methanoplasma,Incomplete nitrogen-fixing genomes,
Hassallia byssoidea VB512170,VB512170,GCF_000817785.2,1304833,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Hassalia,Incomplete nitrogen-fixing genomes,
Beduini massiliensis,GM1,GCF_000829905.1,1585974,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Beduini,Incomplete nitrogen-fixing genomes,
Methylocucumis oryzae,Sn10-6,GCF_000963695.1,1632867,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocucumis,Incomplete nitrogen-fixing genomes,
Mageeibacillus indolicus UPII9-5,UPII9-5,GCF_000025225.2,699246,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Mageeibacillus,Incomplete nitrogen-fixing genomes,
Christensenella hongkongensis,ABBA15k,GCF_001507385.1,270498,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Incomplete nitrogen-fixing genomes,
Endomicrobium proavitum,Rsa215,GCF_001027545.1,1408281,cellular organisms,Bacteria,Elusimicrobiota,Endomicrobiia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,Incomplete nitrogen-fixing genomes,
Gottschalkia purinilytica,DSM 1384,GCF_001190785.1,1503,cellular organisms,Bacteria,Bacillota,Tissierellia,Tissierellales,Gottschalkiaceae,Gottschalkia,Incomplete nitrogen-fixing genomes,
Megasphaera massiliensis,NP3,GCF_000455225.1,1232428,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Incomplete nitrogen-fixing genomes,
Inediibacterium massiliense,Mt12,GCF_001282725.1,1658111,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Inediibacterium,Incomplete nitrogen-fixing genomes,
Desulfatitalea tepidiphila,S28bF,GCF_001293685.1,1185843,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfatitalea,Incomplete nitrogen-fixing genomes,
Geotalea toluenoxydans JCM 15764,JCM 15764,GCF_001311985.1,1294260,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Incomplete nitrogen-fixing genomes,
Cellulosilyticum ruminicola JCM 14822,JCM 14822,GCF_001311925.1,1294025,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Cellulosilyticaceae,Cellulosilyticum,Incomplete nitrogen-fixing genomes,
Mediterraneibacter faecis,MSK.13.52,GCF_020537305.1,592978,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Incomplete nitrogen-fixing genomes,
