test,GCF,main,evid,V1,Organism/Name,Strain,TaxID,no rank,superkingdom,phylum,class,order,family,genus,count,rename_phylum,phylum_size,rename_class,class_size,nifHDK
GCF_011516875.1_ASM1151687v1_protein,GCF_011516875.1,Classical nitrogen-fixing genomes,No,11607,Acetobacter lovaniensis,LMG 1617,104100,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_011516885.1_ASM1151688v1_protein,GCF_011516885.1,Classical nitrogen-fixing genomes,No,11608,Acetobacter lambici,LMG 27439,1332824,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_011516935.1_ASM1151693v1_protein,GCF_011516935.1,,,11609,Acetobacter farinalis,LMG 26772,1260984,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011516945.1_ASM1151694v1_protein,GCF_011516945.1,,,11610,Acetobacter estunensis,LMG 1626,104097,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_014207695.1_ASM1420769v1_protein,GCF_014207695.1,,,11612,Pseudoteredinibacter isoporae,DSM 22368,570281,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011602365.1_ASM1160236v1_protein,GCF_011602365.1,,,11613,Aestuariicella hydrocarbonica,JCM 30134,1470433,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011601345.1_ASM1160134v1_protein,GCF_011601345.1,,,11615,Roseovarius gahaiensis,GH877,2716691,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011634895.1_ASM1163489v1_protein,GCF_011634895.1,,,11617,Rheinheimera pleomorphica,PKS7,2703963,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_003606325.2_ASM360632v3_protein,GCF_003606325.2,,,11623,Bartonella kosoyi,Tel Aviv,2133959,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_003606345.3_ASM360634v3_protein,GCF_003606345.3,,,11624,Bartonella krasnovii,OE 1-1,2267275,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011683915.1_ASM1168391v1_protein,GCF_011683915.1,,,11625,Pelagibius litoralis,DSM 21314,374515,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodovibrionaceae,Pelagibius,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011683955.1_ASM1168395v1_protein,GCF_011683955.1,,,11626,Pseudomaricurvus alkylphenolicus,KCTC 32386,1306991,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudomaricurvus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011742555.1_ASM1174255v1_protein,GCF_011742555.1,,,11627,Luteibacter jiangsuensis,CGMCC 1.10133,637577,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900128525.1_BPUTEOMOX_protein,GCF_900128525.1,,,11629,methanotrophic endosymbiont of Bathymodiolus puteoserpentis (Logatchev),BPUTEOMOX,343235,unclassified Gammaproteobacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011759365.1_ASM1175936v1_protein,GCF_011759365.1,,,11636,Luteibacter anthropi,CCUG 25036,564369,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011761305.1_ASM1176130v1_protein,GCF_011761305.1,,,11641,Sphingomonas vulcanisoli,CECT 8804,1658060,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011761565.1_ASM1176156v1_protein,GCF_011761565.1,Classical nitrogen-fixing genomes,No,11646,Rhizomicrobium palustre,DSM 19867,189966,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_011761945.1_ASM1176194v1_protein,GCF_011761945.1,,,11649,Sphingomonas leidyi,DSM 4733,68569,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011761985.1_ASM1176198v1_protein,GCF_011761985.1,,,11650,Brevundimonas terrae,DSM 17329,363631,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011762045.1_ASM1176204v1_protein,GCF_011762045.1,Classical nitrogen-fixing genomes,No,11651,Rhizomicrobium electricum,DSM 21034,480070,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_011762025.1_ASM1176202v1_protein,GCF_011762025.1,,,11652,Sphingobium vermicomposti,DSM 21299,529005,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011762095.1_ASM1176209v1_protein,GCF_011762095.1,,,11653,Parvibaculum indicum,DSM 25305,562969,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011762125.1_ASM1176212v1_protein,GCF_011762125.1,,,11654,Sphingopyxis panaciterrae,DSM 27164,363841,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011762195.1_ASM1176219v1_protein,GCF_011762195.1,,,11657,Sphingomonas oligoaromativorans,DSM 102246,575322,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011762225.1_ASM1176222v1_protein,GCF_011762225.1,,,11658,Pseudochelatococcus lubricantis,DSM 103870,1538102,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Pseudochelatococcus,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011764585.1_ASM1176458v1_protein,GCF_011764585.1,Classical nitrogen-fixing genomes,No,11663,Sulfurimicrobium lacus,skT11,2715678,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfurimicrobium,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_004310345.1_ASM431034v1_protein,GCF_004310345.1,,,11666,Paracoccus subflavus,GY0581,2528244,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_004331415.1_ASM433141v1_protein,GCF_004331415.1,Classical nitrogen-fixing genomes,Yes,11667,Kosakonia quasisacchari,WCHEs120001,2529380,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_004358445.1_ASM435844v1_protein,GCF_004358445.1,,,11668,Parashewanella tropica,MEBiC05444,2547970,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Parashewanella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_004803635.1_ASM480363v1_protein,GCF_004803635.1,,,11671,Lampropedia aestuarii,YIM MLB12,2562762,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_005144965.1_ASM514496v1_protein,GCF_005144965.1,,,11672,Hankyongella ginsenosidimutans,W1-2-3,1763828,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Hankyongella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_005434915.1_ASM543491v1_protein,GCF_005434915.1,,,11674,Aurantiacibacter suaedae,GH3-15,2545755,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Aurantiacibacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_005434965.1_ASM543496v1_protein,GCF_005434965.1,,,11675,Marimonas lutisalis,GH1-19,2545756,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marimonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_005818865.1_ASM581886v1_protein,GCF_005818865.1,,,11677,Mariprofundus erugo,P3,2528639,cellular organisms,Bacteria,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,1,Pseudomonadota,6025,other class,6,
GCF_005876985.1_ASM587698v1_protein,GCF_005876985.1,,,11678,Rhodoferax bucti,GSA243-2,2576305,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_005887615.1_ASM588761v1_protein,GCF_005887615.1,,,11680,Sulfitobacter sabulilitoris,HSMS-29,2562655,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_007570835.1_ASM757083v1_protein,GCF_007570835.1,,,11682,Croceicoccus sediminis,S2-4-2,2571150,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_007644045.2_ASM764404v2_protein,GCF_007644045.2,,,11683,Vogesella urethralis,YM-1,2592656,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_014647215.1_ASM1464721v1_protein,GCF_014647215.1,,,11686,Shewanella aestuarii,JCM 17801,1028752,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011806565.1_ASM1180656v1_protein,GCF_011806565.1,,,11688,Marivivens donghaensis,HF1,1699413,Marivivens group,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marivivens,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011808225.1_ASM1180822v1_protein,GCF_011808225.1,,,11689,Cedecea colo,ZA,2552946,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_011926545.1_ASM1192654v1_protein,GCF_011926545.1,,,11694,Sphingopyxis italica,DSM 25229,1129133,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011927695.1_ASM1192769v1_protein,GCF_011927695.1,,,11696,Sphingomonas jejuensis,DSM 27651,904715,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011927725.1_ASM1192772v1_protein,GCF_011927725.1,,,11697,Sphingomonas kaistensis,DSM 16846,298708,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011927945.1_ASM1192794v1_protein,GCF_011927945.1,,,11704,Brevundimonas alba,DSM 4736,74314,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011947285.1_ASM1194728v1_protein,GCF_011947285.1,,,11709,Glaciimonas immobilis,DSM 23240,728004,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Glaciimonas,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012030695.1_ASM1203069v1_protein,GCF_012030695.1,,,11712,Wolbachia endosymbiont of Brugia pahangi,FR3,96495,unclassified Wolbachia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_902713635.1_WoCaobscurior_wCobs-BR2009-alpha_v1.0_protein,GCF_902713635.1,,,11716,Wolbachia endosymbiont of Cardiocondyla obscurior,wCobs-BR2009-alpha,2687307,unclassified Wolbachia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_014199265.1_ASM1419926v1_protein,GCF_014199265.1,,,11718,Brucella daejeonensis,DSM 26944,659015,Brucella/Ochrobactrum group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_022538045.1_ASM2253804v1_protein,GCF_022538045.1,,,11719,Brucella ciceri,PW1,391287,Brucella/Ochrobactrum group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_012163135.1_ASM1216313v1_protein,GCF_012163135.1,,,11720,Roseomonas oryzicola,KCTC 22478,535904,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_013184735.1_ASM1318473v1_protein,GCF_013184735.1,,,11721,Falsiroseomonas frigidaquae,JCM,487318,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Falsiroseomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_012275705.1_ASM1227570v1_protein,GCF_012275705.1,,,11726,Vibrio chemaguriensis,Iso1,2527672,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012395255.1_ASM1239525v1_protein,GCF_012395255.1,,,11728,Oleiagrimonas citrea,MEBiC09124,1665687,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Oleiagrimonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012276755.1_Mbh_protein,GCF_012276755.1,Classical nitrogen-fixing genomes,Yes,11731,Marichromatium bheemlicum,DSM 18632,365339,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_012567545.1_ASM1256754v1_protein,GCF_012567545.1,,,11737,Enterobacteriaceae endosymbiont of Donacia fulgens,DfulgSym,2675778,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012567955.1_ASM1256795v1_protein,GCF_012567955.1,,,11738,Enterobacteriaceae endosymbiont of Donacia bicoloricornis,DbicSym,2675772,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012568245.1_ASM1256824v1_protein,GCF_012568245.1,,,11739,Enterobacteriaceae endosymbiont of Donacia thalassina,DthaSym,2675786,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012569285.1_ASM1256928v1_protein,GCF_012569285.1,,,11740,Enterobacteriaceae endosymbiont of Donacia proxima,DproxSym,2675782,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012569785.1_ASM1256978v1_protein,GCF_012569785.1,,,11741,Enterobacteriaceae endosymbiont of Donacia crassipes,DcraSym,2675776,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012570145.1_ASM1257014v1_protein,GCF_012570145.1,,,11742,Enterobacteriaceae endosymbiont of Donacia provostii,DprovSym,2675781,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012570535.1_ASM1257053v1_protein,GCF_012570535.1,,,11743,Enterobacteriaceae endosymbiont of Donacia semicuprea,DsemSym,2675783,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012570745.1_ASM1257074v1_protein,GCF_012570745.1,,,11744,Enterobacteriaceae endosymbiont of Donacia dentata,DdentSym,2675777,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012570965.1_ASM1257096v1_protein,GCF_012570965.1,,,11745,Enterobacteriaceae endosymbiont of Donacia versicolorea,DversSym,2675788,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012571345.1_ASM1257134v1_protein,GCF_012571345.1,,,11746,Enterobacteriaceae endosymbiont of Macroplea mutica,MmutSym,2675791,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012571605.1_ASM1257160v1_protein,GCF_012571605.1,,,11747,Enterobacteriaceae endosymbiont of Macroplea appendiculata,MappSym,2675790,unclassified Enterobacteriaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012584515.1_ASM1258451v1_protein,GCF_012584515.1,,,11748,Polaromonas vacuolata,KCTC 22033,37448,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012641725.1_ASM1264172v1_protein,GCF_012641725.1,,,11750,Pseudoalteromonas maricaloris,LMG 19692,184924,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900101405.1_IMG-taxon_2654588101_annotated_assembly_protein,GCF_900101405.1,Classical nitrogen-fixing genomes,Yes,11752,Bradyrhizobium brasilense,R5,1419277,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_017894385.1_ASM1789438v1_protein,GCF_017894385.1,,,11753,Aromatoleum petrolei,ToN1,76116,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012911005.1_ASM1291100v1_protein,GCF_012911005.1,Classical nitrogen-fixing genomes,No,11754,Aromatoleum toluolicum,T,90060,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_012720115.1_ASM1272011v1_protein,GCF_012720115.1,,,11758,Sneathiella chinensis,LMG23452,349750,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_902829245.1_Q1714_protein,GCF_902829245.1,,,11760,Comamonas jiangduensis,Q1714,1194168,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_902829295.1_Q2602_protein,GCF_902829295.1,,,11761,Vogesella oryzae,Q2602,1735285,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012790675.1_ASM1279067v1_protein,GCF_012790675.1,,,11762,Anaplasma platys,S3,949,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_012910705.2_ASM1291070v2_protein,GCF_012910705.2,,,11767,Aromatoleum anaerobium,LuFRes1,182180,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012910785.2_ASM1291078v2_protein,GCF_012910785.2,,,11768,Aromatoleum buckelii,U120,200254,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012910805.1_ASM1291080v1_protein,GCF_012910805.1,Classical nitrogen-fixing genomes,No,11769,Aromatoleum evansii,KB740,59406,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_012910885.1_ASM1291088v1_protein,GCF_012910885.1,,,11770,Azoarcus taiwanensis,NSC3,666964,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012910905.1_ASM1291090v1_protein,GCF_012910905.1,Classical nitrogen-fixing genomes,No,11771,Aromatoleum toluvorans,Td21,92002,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_017894365.1_ASM1789436v1_protein,GCF_017894365.1,,,11772,Aromatoleum bremense,PbN1,76115,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012910955.1_ASM1291095v1_protein,GCF_012910955.1,Classical nitrogen-fixing genomes,No,11773,Aromatoleum diolicum,22Lin,75796,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_010669145.1_ASM1066914v1_protein,GCF_010669145.1,,,11774,Rhizobium oryzihabitans,M15,2267833,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_012926505.1_ASM1292650v1_protein,GCF_012926505.1,,,11775,Pacificispira spongiicola,KN72,2729598,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pacificispira,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_013072755.1_ASM1307275v1_protein,GCF_013072755.1,,,11777,Pseudomonas nitrititolerans,AGROB37,2482751,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_012932215.1_ASM1293221v1_protein,GCF_012932215.1,,,11779,Roseobacter ponti,DSM 106830,1891787,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_012932565.1_ASM1293256v1_protein,GCF_012932565.1,,,11780,Sneathiella limimaris,KCTC 52846,1964213,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000010405.1_ASM1040v1_protein,GCF_000010405.1,,,11784,Candidatus Vesicomyosocius okutanii,HA,412965,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Vesicomyosocius,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_020421325.1_ASM2042132v1_protein,GCF_020421325.1,,,11785,Burkholderia arboris,AU14372,488730,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_012939995.1_ASM1293999v1_protein,GCF_012939995.1,Classical nitrogen-fixing genomes,No,11786,Candidatus Competibacter phosphatis,SBR_G,221280,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,Candidatus Competibacteraceae,Candidatus Competibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
